name,artist,artist_stream_sum,artist_rank
"Taiwan, Province of China",Martin Garrix,8907942,3
Turkey,Ezhel,27730412,1
Turkey,Ed Sheeran,25711643,2
Turkey,Manuş Baba,25427492,3
United Kingdom,Ed Sheeran,704782705,1
United Kingdom,Drake,284749468,2
United Kingdom,The Chainsmokers,143171840,3
United States,Drake,1250864578,1
United States,Kendrick Lamar,1163890899,2
United States,Post Malone,988811897,3
Uruguay,J Balvin,8287256,1
Uruguay,Ozuna,7976898,2
Uruguay,Luis Fonsi,5878448,3
global,Ed Sheeran,4560088448,1
global,Drake,2238528547,2
global,The Chainsmokers,2210874037,3
